asset_key,product_id,fund_code,name,manager,kis_asset_class,sub_type,weight,role
kr_equity,434730,K55232DU8475,NH-AmundiHANARO원자력iSelect상장지수(주식),NH-Amundi운용,국내주식,기타인덱스,0.05886451685833323,core
kr_equity,449450,K55213DZ4142,한화PLUSK방산상장지수(주식),한화운용,국내주식,기타인덱스,0.010792433447152479,satellite
kr_equity,433500,K55101DU0363,한국투자ACE원자력TOP10상장지수(주식),한국투자신탁운용,국내주식,기타인덱스,0.010792433447152479,satellite
us_growth_equity,426030,K553J1DT1912,타임폴리오TIME미국나스닥100액티브상장지수(주식),타임폴리오자산운용,글로벌주식,북미주식,0.2,core
us_growth_equity,411420,K55105DO3916,삼성KODEX미국나스닥AI테크액티브상장지수[주식],삼성운용,글로벌주식,북미주식,0.08401683398508636,satellite
us_growth_equity,381180,K55301DF8777,미래에셋TIGER미국필라델피아반도체나스닥상장지수(주식),미래에셋운용,글로벌주식,정보기술섹터,0.08401683398508636,satellite
us_value_equity,402970,K55101DN4471,한국투자ACE미국배당다우존스상장지수(주식),한국투자신탁운용,글로벌주식,북미주식,0.003924992959840977,core
us_value_equity,446720,K55210DY2868,신한SOL미국배당다우존스상장지수[주식],신한자산운용,글로벌주식,북미주식,0.003924992959840949,satellite
us_value_equity,429000,K55301DS7063,미래에셋TIGER미국S&P500배당귀족상장지수(주식),미래에셋운용,글로벌주식,북미주식,0.003924992959840949,satellite
em_equity,446690,K55105DX9912,삼성KODEX아시아AI반도체exChina액티브상장지수[주식],삼성운용,신흥국주식,아시아태평양주식,0.01592499295925432,core
em_equity,105010,KR5225844749,미래에셋TIGER라틴상장지수(주식),미래에셋운용,신흥국주식,남미신흥국주식,0.005424992959767617,satellite
em_equity,277540,K55101BU2759,한국투자ACE아시아TOP50상장지수(주식),한국투자신탁운용,신흥국주식,아시아태평양주식(ex J),0.005424992959767617,satellite
kr_aggregate_bond,497880,K55210EF7273,신한SOLCD금리&머니마켓액티브상장지수[채권],신한자산운용,국내채권,초단기채권,3.714076646018568e-18,core
kr_aggregate_bond,487340,K55101EC8482,한국투자ACE머니마켓액티브상장지수(채권),한국투자신탁운용,국내채권,초단기채권,4.642595807523209e-19,satellite
kr_aggregate_bond,488770,K55105EC8033,삼성KODEX머니마켓액티브상장지수[채권],삼성운용,국내채권,초단기채권,4.642595807523209e-19,satellite
kr_treasury_10y,114820,KR5225151061,미래에셋TIGER국채3상장지수(채권),미래에셋운용,국내채권,중기채권,0.09817301392217458,core
kr_treasury_10y,438570,K55210DW6804,신한SOL국고채10년상장지수[채권],신한자산운용,국내채권,일반채권,0.012271626740271817,satellite
kr_treasury_10y,461460,K55213E35667,한화PLUS국고채10년액티브상장지수(채권),한화운용,국내채권,우량채권,0.012271626740271817,satellite
us_aggregate_bond,468630,K55105E57073,삼성KODEXiShares미국투자등급회사채액티브상장지수[채권-재간접],삼성운용,해외채권,북미채권,1.1969591984234956e-17,core
us_aggregate_bond,464470,K55213E52282,한화PLUS미국채30년액티브상장지수(채권),한화운용,해외채권,북미채권,1.4961989980293687e-18,satellite
us_aggregate_bond,437080,K55105DR4788,삼성KODEX미국종합채권ESG액티브상장지수[채권](H),삼성운용,해외채권,북미채권,1.4961989980293687e-18,satellite
gold,0137W0,K55206EQ5684,키움KIWOOM미국S&P500&GOLD상장지수[주식],키움투자운용,글로벌주식,북미주식,0.2,core
us_high_yield,468380,K55105E57081,삼성KODEXiShares미국하이일드액티브상장지수[채권-재간접],삼성운용,해외채권,글로벌하이일드채권,0.15220057849292673,core
us_high_yield,455660,K55101E13018,한국투자ACE미국하이일드액티브상장지수[채권-재간접](H),한국투자신탁운용,해외채권,글로벌하이일드채권,0.03805014462323167,satellite
