asset_key,product_id,fund_code,name,manager,kis_asset_class,sub_type,weight,role
kr_equity,43306,K55236CG1954,한국밸류10년투자파이오니아(주식)(C-Re),한국투자밸류운용,국내주식,일반주식,0.054939523898492285,core
kr_equity,43040,K55232C99576,NH-Amundi필승코리아[주식]ClassC-P2(퇴직연금),NH-Amundi운용,국내주식,일반주식,0.006867440487311534,satellite
kr_equity,41944,KR5207A10369,교보악사파워인덱스자 1[주식]ClassCP,교보악사운용,국내주식,K200인덱스,0.006867440487311534,satellite
us_growth_equity,76305,K55223D45352,KB미국대표성장주자(주식)(UH)C-퇴직,KB운용,글로벌주식,북미주식,0.28814694564039267,core
us_growth_equity,74176,K55105CS5827,삼성미국그로스자UH[주식-재간접]_Cp(퇴직연금),삼성운용,글로벌주식,북미주식,0.036018368205049084,satellite
us_growth_equity,73125,K55370D73619,AB미국그로스UH(주식-재간접)종류C-P2,AB자산운용,글로벌주식,북미주식,0.036018368205049084,satellite
us_value_equity,70467,K55101D20882,한국투자미국배당귀족자UH(주식)(C-R),한국투자신탁운용,글로벌주식,북미주식,3.175280797466722e-17,core
us_value_equity,70455,K55101D20684,한국투자미국배당귀족자H(주식)(C-R),한국투자신탁운용,글로벌주식,북미주식,7.938201993666802e-18,satellite
em_equity,2074,K55232B48005,NH-Amundi성장중소형주[주식]ClassC-P2(퇴직연금),NH-Amundi운용,신흥국주식,중소형주식,0.011999999999413377,core
em_equity,71972,K55303CR9028,마이다스아시아리더스성장주자(H)(주식)C-P2,마이다스운용,신흥국주식,아시아태평양주식,0.001499999999926672,satellite
em_equity,71976,K55303D98252,마이다스아시아리더스성장주자(UH)(주식)C-P2,마이다스운용,신흥국주식,아시아태평양주식,0.001499999999926672,satellite
kr_aggregate_bond,42351,K55226C77475,HDC알짜배당(주식)종류C-Pe,HDC운용,국내채권,배당주식,3.714076646018568e-18,core
kr_aggregate_bond,11688,K55310BZ7024,코레이트셀렉트단기채[채권]C-P2,코레이트운용,국내채권,일반채권,4.642595807523209e-19,satellite
kr_aggregate_bond,12483,K55105AZ7255,삼성스마트MMF법인 1Cp(퇴직연금),삼성운용,국내채권,MMF,4.642595807523209e-19,satellite
kr_treasury_10y,4882,K55101BT5789,한국투자퇴직연금자 1(국공채)(C),한국투자신탁운용,국내채권,우량채권,0.09817301392217458,core
kr_treasury_10y,10795,K55223BJ7467,KB스타중기국공채자(채권)C-퇴직 클래스,KB운용,국내채권,우량채권,0.012271626740271817,satellite
kr_treasury_10y,11317,KR5232AT9836,NH-Amundi국채10년인덱스자[채권]ClassC-P2(퇴직연금),NH-Amundi운용,국내채권,우량채권,0.012271626740271817,satellite
us_aggregate_bond,74222,K55105CU9528,삼성미국투자등급장기채권자UH[채권]_Cp(퇴직연금),삼성운용,해외채권,북미채권,1.1969591984234956e-17,core
us_aggregate_bond,74214,K55105BV1871,삼성미국투자등급장기채권자H[채권]_Cp(퇴직연금),삼성운용,해외채권,북미채권,2.9923979960587375e-18,satellite
gold,72124,K55366BU9572,iM에셋월드골드자(주식-재간접)(UH)(C-Rp),iM에셋운용,글로벌주식,기초소재섹터,0.19453993804660033,core
gold,73280,K55210CC2758,신한골드 1[주식](종류C-r),신한자산운용,글로벌주식,기초소재섹터,0.024317492255825038,satellite
gold,72122,K55366B44729,iM에셋월드골드자(주식-재간접)(H)(C-Rp),iM에셋운용,글로벌주식,기초소재섹터,0.024317492255825038,satellite
us_high_yield,71800,K55302CE8406,베어링글로벌하이일드자[UH](채권-재간접)ClassC-P2e,베어링운용,해외채권,글로벌하이일드채권,0.15220057849292673,core
us_high_yield,71791,K55302CE8240,베어링글로벌하이일드자[H](채권-재간접)ClassC-P2,베어링운용,해외채권,글로벌하이일드채권,0.019025072311615834,satellite
us_high_yield,74369,K55207EL7882,교보악사미국코어하이일드자(UH)[채권-재간접]_ClassC-Re(퇴직연금),교보악사운용,해외채권,글로벌하이일드채권,0.019025072311615834,satellite
